"id","device","sum_spent","group","join_dt","country","gender"
"1000325","I","0","A","2023-01-30","MEX","M"
"1000326","A","0","B","2023-01-30","TUR","F"
"1000327","A","0","A","2023-01-25","USA","M"
"1000328","A","0","B","2023-01-26","MEX","F"
"1000329","I","0","B","2023-01-31","USA","M"
"1000330","A","0","B","2023-01-26","TUR","F"
"1000331","I","0","A","2023-01-27","USA","M"
"1000332","I","0","A","2023-01-25","USA","F"
"1000333","A","0","A","2023-01-26","USA","M"
"1000334","I","0","A","2023-01-29","FRA","F"
"1000335","A","0","A","2023-01-25","USA","F"
"1000336","A","0","B","2023-01-26","BRA","M"
"1000337","A","0","A","2023-01-25","MEX","M"
"1000338","I","0","A","2023-02-06","MEX","O"
"1000339","A","0","A","2023-02-02","USA","F"
"1000340","I","0","B","2023-02-01","USA","F"
"1000341","I","0","A","2023-01-28","USA","unknown"
"1000342","I","0","B","2023-01-27","AUS","F"
"1000343","A","0","A","2023-02-01","GBR","O"
"1000344","I","0","A","2023-01-25","USA","F"
"1000345","A","0","A","2023-01-25","GBR","M"
"1000346","I","0","A","2023-01-25","MEX","F"
"1000347","A","0","A","2023-01-27","AUS","O"
"1000348","A","0","B","2023-01-25","BRA","M"
"1000349","A","0","B","2023-01-30","BRA","M"
"1000350","I","0","B","2023-01-25","USA","M"
"1000351","A","0","B","2023-01-28","BRA","F"
"1000352","A","0","A","2023-01-27","USA","F"
"1000353","A","0","A","2023-01-25","MEX","unknown"
"1000354","I","0","B","2023-01-26","BRA","F"
"1000355","A","0","A","2023-01-26","FRA","M"
"1000356","I","0","A","2023-01-26","GBR","F"
"1000357","I","0","A","2023-01-27","USA","F"
"1000358","A","0","B","2023-01-27","unknown","F"
"1000359","I","0","B","2023-01-27","GBR","M"
"1000360","I","0","B","2023-01-25","TUR","unknown"
"1000361","I","0","B","2023-02-04","BRA","F"
"1000362","A","0","A","2023-01-27","FRA","M"
"1000363","A","0","A","2023-02-06","ESP","M"
"1000364","A","0","A","2023-01-29","TUR","F"
"1000365","A","0","B","2023-01-26","FRA","F"
"1000366","A","0","B","2023-02-04","TUR","unknown"
"1000367","A","0","B","2023-01-25","BRA","M"
"1000368","A","0","A","2023-02-03","BRA","unknown"
"1000369","I","0","A","2023-01-25","BRA","O"
"1000370","A","0","B","2023-01-26","BRA","M"
"1000371","A","0","A","2023-02-03","USA","M"
"1000372","unknown","0","B","2023-01-27","AUS","F"
"1000373","A","0","A","2023-01-30","FRA","F"
"1000374","A","0","A","2023-02-03","ESP","F"
"1000375","A","0","B","2023-01-25","USA","M"
"1000376","A","0","A","2023-01-28","MEX","F"
"1000377","A","0","B","2023-02-02","BRA","unknown"
"1000378","A","0","B","2023-01-25","USA","F"
"1000379","I","0","A","2023-01-25","MEX","F"
"1000381","A","0","B","2023-01-26","BRA","unknown"
"1000382","I","0","A","2023-02-04","DEU","M"
"1000383","A","0","A","2023-01-25","ESP","unknown"
"1000384","I","0","A","2023-01-26","DEU","F"
"1000385","A","0","A","2023-01-26","DEU","M"
"1000386","A","0","A","2023-01-28","TUR","M"
"1000387","A","0","B","2023-02-03","MEX","F"
"1000388","I","0","B","2023-01-26","GBR","F"
"1000389","A","0","B","2023-01-27","USA","M"
"1000391","A","0","B","2023-02-06","BRA","unknown"
"1000392","A","0","A","2023-01-25","ESP","F"
"1000393","A","0","A","2023-01-25","USA","F"
"1000394","I","0","A","2023-01-29","ESP","F"
"1000395","A","0","A","2023-02-01","USA","F"
"1000396","A","0","A","2023-01-26","MEX","O"
"1000397","A","0","B","2023-01-29","CAN","F"
"1000398","A","0","B","2023-01-26","USA","F"
"1000399","I","0","A","2023-01-26","DEU","M"
"1000401","I","0","A","2023-01-30","USA","F"
"1000402","I","0","A","2023-01-25","CAN","unknown"
"1000403","A","0","A","2023-01-26","AUS","O"
"1000404","A","0","A","2023-01-31","MEX","M"
"1000405","I","0","A","2023-01-28","USA","M"
"1000406","A","0","A","2023-02-01","MEX","unknown"
"1000407","I","0","A","2023-01-27","TUR","unknown"
"1000408","A","0","B","2023-01-27","BRA","M"
"1000409","A","0","A","2023-01-27","BRA","M"
"1000410","A","0","B","2023-01-25","CAN","F"
"1000411","I","0","B","2023-02-03","GBR","F"
"1000412","I","0","A","2023-01-25","TUR","F"
"1000413","A","0","B","2023-01-27","MEX","unknown"
"1000414","A","0","B","2023-01-28","BRA","M"
"1000415","I","57.69","B","2023-02-04","DEU","unknown"
"1000416","A","0","A","2023-02-05","USA","M"
"1000417","A","45.06","B","2023-01-30","DEU","F"
"1000418","A","0","B","2023-02-04","USA","F"
"1000419","I","0","A","2023-01-26","USA","F"
"1000420","A","0","A","2023-02-01","USA","F"
"1000421","A","0","A","2023-02-06","MEX","F"
"1000422","I","0","A","2023-01-30","TUR","unknown"
"1000423","A","0","B","2023-01-25","USA","F"
"1000424","I","0","B","2023-01-25","DEU","F"
"1000425","A","0","B","2023-01-29","USA","F"
"1000426","I","0","A","2023-01-30","MEX","F"
"1000428","A","0","A","2023-01-28","USA","M"
"1000429","A","0","B","2023-01-25","MEX","O"
"1000430","I","0","A","2023-01-26","USA","M"
"1000431","A","0","B","2023-01-25","DEU","F"
"1000432","A","0","A","2023-01-26","USA","unknown"
"1000433","I","0","B","2023-02-05","unknown","F"
"1000434","I","0","B","2023-01-31","BRA","M"
"1000436","A","25.55","B","2023-01-28","TUR","F"
"1000437","A","0","A","2023-02-06","DEU","M"
"1000438","I","0","A","2023-01-25","MEX","F"
"1000439","I","0","A","2023-01-25","MEX","F"
"1000440","A","0","B","2023-01-27","GBR","M"
"1000441","A","0","A","2023-02-04","MEX","F"
"1000442","I","0","A","2023-01-26","DEU","F"
"1000443","A","0","A","2023-01-28","USA","M"
"1000445","A","0","B","2023-01-26","AUS","F"
"1000446","A","0","A","2023-01-31","FRA","F"
"1000447","I","0","B","2023-01-25","USA","F"
"1000448","I","0","A","2023-01-25","BRA","F"
"1000449","I","0","B","2023-01-25","USA","unknown"
"1000450","I","0","B","2023-01-27","USA","M"
"1000451","I","0","A","2023-02-01","BRA","F"
"1000452","A","0","A","2023-01-28","BRA","unknown"
"1000453","A","0","A","2023-01-25","MEX","M"
"1000454","I","39.09","B","2023-01-30","USA","M"
"1000455","I","0","B","2023-01-29","USA","F"
"1000456","I","0","A","2023-01-27","TUR","F"
"1000457","I","0","A","2023-02-02","BRA","F"
"1000458","I","0","A","2023-02-06","BRA","O"
"1000459","A","0","B","2023-01-26","FRA","F"
"1000460","A","0","B","2023-01-27","BRA","unknown"
"1000461","I","0","A","2023-01-26","BRA","unknown"
"1000462","I","0","B","2023-01-25","CAN","M"
"1000463","A","0","A","2023-02-05","TUR","M"
"1000464","A","0","A","2023-01-26","USA","M"
"1000465","A","0","A","2023-01-27","BRA","M"
"1000466","I","0","B","2023-01-30","USA","F"
"1000467","A","0","B","2023-01-28","TUR","unknown"
"1000468","I","0","B","2023-01-25","AUS","F"
"1000469","A","0","B","2023-02-05","GBR","unknown"
"1000470","I","0","B","2023-01-30","DEU","F"
"1000471","A","0","A","2023-02-01","BRA","F"
"1000472","I","0","B","2023-01-28","CAN","F"
"1000473","A","0","A","2023-01-28","USA","M"
"1000474","A","0","B","2023-01-26","GBR","M"
"1000475","A","0","B","2023-02-06","BRA","unknown"
"1000476","I","0","B","2023-02-01","MEX","F"
"1000477","A","0","B","2023-01-28","unknown","F"
"1000478","I","0","A","2023-01-27","FRA","F"
"1000479","I","0","B","2023-01-31","USA","M"
"1000480","A","0","A","2023-01-25","BRA","unknown"
"1000481","A","0","A","2023-02-02","BRA","F"
"1000482","A","0","B","2023-01-26","TUR","M"
"1000483","I","0","A","2023-01-31","USA","M"
"1000484","A","0","A","2023-01-28","BRA","M"
"1000485","I","0","A","2023-01-25","BRA","unknown"
"1000486","A","0","B","2023-01-25","DEU","M"
"1000487","I","0","A","2023-01-29","MEX","M"
"1000488","A","0","B","2023-02-05","FRA","F"
"1000489","I","0","A","2023-02-06","MEX","F"
"1000490","A","0","A","2023-01-27","USA","F"
"1000491","I","0","B","2023-01-26","TUR","unknown"
"1000492","A","0","A","2023-02-02","BRA","F"
"1000493","A","0","B","2023-02-05","USA","F"
"1000494","I","0","A","2023-01-27","USA","F"
"1000495","I","0","A","2023-01-27","FRA","M"
"1000496","A","0","A","2023-02-05","MEX","M"
"1000497","A","0","A","2023-01-25","USA","F"
"1000498","I","0","A","2023-02-05","USA","F"
"1000499","I","0","B","2023-01-25","MEX","F"
"1000500","A","0","B","2023-01-30","MEX","O"
"1000501","I","0","B","2023-01-29","USA","F"
"1000502","A","0","B","2023-01-30","DEU","M"
"1000503","A","0","A","2023-01-25","DEU","M"
"1000504","I","0","A","2023-01-29","USA","F"
"1000505","unknown","0","B","2023-01-28","MEX","M"
"1000506","A","0","B","2023-01-30","MEX","F"
"1000507","A","0","B","2023-02-01","BRA","unknown"
"1000508","I","0","A","2023-01-26","GBR","F"
"1000509","I","0","A","2023-01-25","USA","F"
"1000510","A","16.92","B","2023-02-02","MEX","M"
"1000511","I","0","B","2023-01-25","GBR","M"
"1000512","I","0","B","2023-01-25","unknown","M"
"1000513","A","0","A","2023-01-28","USA","F"
"1000514","A","0","B","2023-02-05","ESP","M"
"1000515","A","0","A","2023-01-26","BRA","M"
"1000516","A","0","A","2023-01-25","MEX","F"
"1000517","A","0","A","2023-02-03","BRA","M"
"1000518","A","0","B","2023-01-31","USA","F"
"1000519","I","0","B","2023-01-27","MEX","F"
"1000520","A","0","B","2023-02-01","MEX","M"
"1000521","I","0","B","2023-01-26","USA","M"
"1000522","A","0","B","2023-01-28","GBR","F"
"1000523","A","89.64","A","2023-02-04","BRA","F"
"1000524","A","0","B","2023-01-25","MEX","F"
"1000525","I","0","B","2023-02-05","BRA","F"
"1000526","unknown","0","A","2023-01-29","USA","F"
"1000527","A","0","B","2023-01-31","BRA","F"
"1000528","A","0","A","2023-01-25","DEU","F"
"1000529","A","0","B","2023-01-27","GBR","M"
"1000530","I","0","B","2023-02-03","FRA","F"
"1000531","I","0","A","2023-01-25","DEU","F"
"1000532","I","0","A","2023-01-26","USA","M"
"1000533","A","0","B","2023-01-25","USA","M"
"1000534","A","0","B","2023-01-29","FRA","F"
"1000535","I","0","A","2023-01-31","DEU","M"
"1000536","A","0","A","2023-01-30","USA","M"
"1000537","I","0","A","2023-01-25","BRA","M"
"1000538","I","0","A","2023-01-26","FRA","M"
"1000539","I","0","A","2023-01-26","BRA","F"
"1000540","A","0","A","2023-01-25","BRA","F"
"1000541","A","0","B","2023-01-26","BRA","F"
"1000542","A","0","A","2023-01-27","MEX","M"
"1000543","A","0","B","2023-02-03","USA","M"
"1000544","A","0","A","2023-01-30","USA","M"
"1000545","A","0","B","2023-01-29","USA","M"
"1000546","A","61.12","A","2023-01-29","FRA","F"
"1000547","A","0","A","2023-01-26","USA","M"
"1000548","I","0","A","2023-01-31","USA","F"
"1000549","I","0","B","2023-02-03","TUR","M"
"1000550","I","0","B","2023-01-25","GBR","M"
"1000551","A","0","A","2023-01-28","FRA","F"
"1000552","I","0","B","2023-01-27","USA","F"
"1000553","A","0","A","2023-01-25","USA","M"
"1000554","I","0","B","2023-01-26","USA","M"
"1000555","I","0","B","2023-01-27","USA","F"
"1000556","A","0","B","2023-01-27","TUR","M"
"1000557","A","0","A","2023-01-28","TUR","F"
"1000558","I","0","A","2023-01-27","BRA","unknown"
"1000559","I","0","B","2023-01-25","DEU","M"
"1000560","I","0","B","2023-01-25","USA","F"
"1000561","A","0","B","2023-01-25","USA","F"
"1000562","I","0","A","2023-01-27","ESP","M"
"1000563","A","0","A","2023-01-25","BRA","unknown"
"1000564","A","0","A","2023-01-25","USA","F"
"1000565","I","0","A","2023-02-02","DEU","F"
"1000566","I","0","A","2023-01-25","USA","F"
"1000567","A","0","B","2023-02-04","GBR","F"
"1000568","I","0","A","2023-01-30","AUS","M"
"1000569","A","0","A","2023-02-01","GBR","M"
"1000570","A","0","A","2023-01-25","MEX","M"
"1000571","A","0","A","2023-02-04","USA","F"
